fundamental_signal,value,volatility,quality,leverage,profitability,growth,falling_liquidity,analyst_rating,short_term_trend,long_term_trend,size
book_to_price,1,0,0,0,0,0,0,0,0,0,0
free_cash_flow_to_price,1,0,0,0,0,0,0,0,0,0,0
earnings_to_price,1,0,0,0,0,0,0,0,0,0,0
sales_to_price,1,0,0,0,0,0,0,0,0,0,0
operating_income_to_enterprise_value,1,0,0,0,0,0,0,0,0,0,0
vol_250,0,-1,0,0,0,0,0,0,0,0,0
vol_500,0,-1,0,0,0,0,0,0,0,0,0
asset_turnover_ratio,0,0,1,0,0,0,0,0,0,0,0
cash_to_sales,0,0,1,0,0,0,0,0,0,0,0
assets_to_inventory,0,0,1,0,0,0,0,0,0,0,0
inventory_turnover,0,0,1,0,0,0,0,0,0,0,0
net_profit_margin,0,0,1,0,0,0,0,0,0,0,0
operating_cash_flow_margin,0,0,1,0,0,0,0,0,0,0,0
cash_flow_debt_coverage,0,0,0,1,0,0,0,0,0,0,0
ce_return_on_equity,0,0,0,0,1,0,0,0,0,0,0
return_on_assets,0,0,0,0,1,0,0,0,0,0,0
return_on_invested_capital,0,0,0,0,1,0,0,0,0,0,0
dividend_payout_ratio,0,0,0,0,1,0,0,0,0,0,0
momentum_250,0,0,0,0,0,0,0,0,0,0,0
momentum_20d_100d,0,0,0,0,0,0,0,0,0,0,0
momentum_50,0,0,0,0,0,0,0,0,0,0,0
cash_flow_trend_line_n,0,0,0,0,0,0.058402767,0,0,0,0,0
earnings_trend_line_n,0,0,0,0,0,0.058402767,0,0,0,0,0
revenue_trend_line_n,0,0,0,0,0,0.058402767,0,0,0,0,0
revenue_growth_n,0,0,0,0,0,0.058402767,0,0,0,0,0
change_in_free_cash_flows_to_assets_n,0,0,0,0,0,0.126304945,0,0,0,0,0
dividend_yield_cagr_n,0,0,0,0,0,0.212513546,0,0,0,0,0
earnings_to_price_estimate_growth_n,0,0,0,0,0,0.427570441,0,0,0,0,0
liquidity_momentum,0,0,0,0,0,0,-1,0,0,0,0
brokerage_recommendation,0,0,0,0,0,0,0,1,0,0,0
short_term_momentum,0,0,0,0,0,0,0,0,1,0,0
long_term_momentum,0,0,0,0,0,0,0,0,0,1,0
logged_market_cap,0,0,0,0,0,0,0,0,0,0,1
